,Name,North Macedonia,Slovenia,Iceland,Middle East Other,Germany,Hong Kong,Peru,Romania,Hungary,Greece,South Africa,Jamaica,Netherlands,Czechia,Kuwait,Philippines,Portugal,Thailand,Trinidad & Tobago,Paraguay,Switzerland (Italian),Slovakia,Poland,Bahrain,Nigeria,Lithuania,Russia,Bolivia (Plurinational State of),Colombia,Chile,Oman,East Africa,Belgium,Panama,"Korea, Republic of",Switzerland (German),Israel,Finland,Malaysia,Indonesia,Ireland,Ecuador,Uruguay,Ghana,China,Switzerland (French),Ukraine,Bulgaria,Russian Federation,Jordan,Turkey,Qatar,Dominican Republic,Venezuela (Bolivarian Republic of),Sweden,Singapore,United States of America,"Taiwan, Province of China",India,Viet Nam,United Arab Emirates,Kenya,Estonia,Switzerland,Argentina,Japan,United Kingdom of Great Britain and Northern Ireland,New Zealand,Cyprus,Croatia,Egypt,Serbia,Latvia,Mongolia,Australia,Central America+,Italy,Lesser Antilles,Mexico,Czech Republic/Slovakia,Pakistan,Norway,Lebanon,Aruba,Spain,France,Denmark,South Africa/Nigeria,Brazil,Austria
10,Doctor Strange,0,86007 ,289348 ,0,17402095 ,8172143 ,2457332 ,1499057 ,1205704 ,1175663 ,1158119 ,0,3614533 ,1296133 ,0,6208092 ,954007 ,5029805 ,0,166117 ,0,389195 ,2463489 ,0,0,178354 ,0,691322 ,3131814 ,2548326 ,0,0,1893163 ,0,41325970 ,0,0,1293064 ,5863005 ,0,0,0,165003 ,0,109194913 ,0,2431951 ,544989 ,22318675 ,0,3202816 ,0,0,1680938 ,3140938 ,5382107 ,232641920 ,9496024 ,5174482 ,0,3433126 ,0,0,2379075 ,3460732 ,16390905 ,28547412 ,2221423 ,0,0,0,0,0,0,15902123 ,0,8087311 ,0,13587076 ,0,0,1725391 ,0,0,6975576 ,15688092 ,2285111 ,0,22746665 ,2146709 
11,Guardians of the Galaxy,0,136116 ,423971 ,0,24601759 ,3325123 ,3464059 ,0,1625312 ,703988 ,1480923 ,0,3670838 ,1170173 ,0,5382807 ,1250861 ,3411898 ,0,0,0,339099 ,2518706 ,0,116524 ,0,0,795969 ,2383127 ,2715355 ,0,153454 ,2844222 ,0,10129673 ,0,1900924 ,1376093 ,5803492 ,0,0,1639145 ,209980 ,4878 ,86346366 ,0,2096984 ,547822 ,23530783 ,0,1919065 ,0,0,6016230 ,5270506 ,4729358 ,333176600 ,0,2365347 ,0,2341434 ,154232 ,0,0,4651901 ,9504440 ,37192445 ,3557265 ,0,308536 ,376549 ,211909 ,0,0,23291983 ,0,7011889 ,0,19648542 ,0,0,3075250 ,180532 ,0,10149190 ,19894500 ,2646542 ,0,16820519 ,2531070 
12,Guardians of the Galaxy Vol2,0,121461 ,473545 ,0,30165433 ,4756321 ,0,1145604 ,1713606 ,627157 ,1545351 ,0,4387796 ,1794331 ,0,6316923 ,995552 ,5248385 ,0,221185 ,0,600083 ,3247124 ,0,0,175393 ,0,1099814 ,3486978 ,3154354 ,0,0,2548187 ,0,20921370 ,0,0,1534857 ,5327621 ,7683449 ,0,0,223812 ,0,100663260 ,0,2341243 ,394221 ,27881604 ,0,1525166 ,0,0,2480721 ,4499986 ,4606033 ,389813101 ,4715392 ,3428270 ,0,2900361 ,0,0,3151067 ,4822234 ,10097680 ,53060497 ,3756100 ,0,0,0,0,0,0,24606483 ,0,7900157 ,0,19005245 ,0,0,2467458 ,0,0,10314253 ,24809137 ,3287701 ,0,20925686 ,3450633 
13,Iron Man,,88033 ,278202 ,0,8560475 ,2844618 ,1521193 ,243918 ,682308 ,1799601 ,1464664 ,0,2103537 ,400223 ,839076 ,3994681 ,1323382 ,2446286 ,0,0,0,69024 ,995816 ,0,49724 ,158882 ,0,151386 ,1729740 ,1383728 ,0,93840 ,1970548 ,0,25169783 ,0,606803 ,673760 ,3469079 ,2147484 ,0,926368 ,73896 ,0,15274332 ,0,828937 ,157124 ,9490254 ,0,1662239 ,0,0,1891944 ,2057727 ,3823968 ,318604126 ,5367022 ,1993885 ,0,1841925 ,0,83069 ,1361378 ,1606400 ,8658784 ,34282266 ,2731097 ,52499 ,162294 ,265031 ,30130 ,126835 ,0,19087903 ,2187416 ,10809921 ,0,15945395 ,467215 ,,1860067 ,101817 ,0,12030026 ,19197690 ,2220811 ,1488822 ,13499792 ,1018284 
14,Iron Man 2,0,122290 ,198156 ,0,9254348 ,3760485 ,1862616 ,466054 ,704870 ,1572625 ,2589816 ,0,2136565 ,442253 ,0,6252102 ,1132347 ,4618190 ,0,0,0,202047 ,1136267 ,0,59572 ,97230 ,8672930 ,311086 ,1275996 ,1454137 ,0,122460 ,1890409 ,883729 ,27095727 ,0,684653 ,796554 ,4642633 ,4487383 ,0,1243781 ,103005 ,8290 ,7919827 ,0,1199098 ,138746 ,14762084 ,0,1838197 ,0,0,1903726 ,1968871 ,4194650 ,312433331 ,4036495 ,1232814 ,,2251242 ,0,77051 ,318294 ,2566778 ,12831962 ,30456328 ,2701225 ,,212418 ,300567 ,41653 ,104864 ,0,22418342 ,0,9979666 ,0,18396680 ,0,0,2463643 ,165313 ,0,7601695 ,19792160 ,2292730 ,0,15835025 ,1357508 
15,Iron Man 3,0,178149 ,379577 ,0,24368143 ,13705128 ,5794748 ,0,2023575 ,2049858 ,3188171 ,0,5720784 ,1895271 ,0,14949472 ,1673680 ,8866802 ,0,0,0,502989 ,4252929 ,0,0,0,0,1444620 ,5870418 ,7848244 ,0,347448 ,3511575 ,0,64211513 ,0,2152217 ,1892796 ,13909003 ,15308150 ,0,4534301 ,507296 ,0,121200000 ,0,3290686 ,651777 ,44220462 ,0,4509262 ,0,0,12442756 ,5500507 ,10210551 ,406609688 ,0,12209244 ,0,5725369 ,0,0,0,13556234 ,25185661 ,57074453 ,5226081 ,0,368750 ,799411 ,123278 ,0,0,36164486 ,0,20910968 ,0,48566365 ,0,0,5330071 ,576545 ,0,13049065 ,38962258 ,4432711 ,0,47874596 ,3524852 
16,Spider-Man Far from Home,0,240848 ,363212 ,0,19415724 ,11572556 ,5366523 ,1320710 ,1787769 ,1677145 ,2419842 ,317697 ,7423794 ,2801010 ,2363570 ,10578935 ,2082416 ,11293121 ,975827 ,361575 ,0,900895 ,4485734 ,1011144 ,444647 ,352990 ,0,1261551 ,5183590 ,5575886 ,581684 ,0,3509237 ,0,58999344 ,0,3151675 ,1898839 ,8688888 ,17183895 ,0,3122585 ,602876 ,64789 ,198999549 ,0,2966370 ,463096 ,21370915 ,384177 ,2974337 ,1592526 ,855984 ,573244 ,4464431 ,6951063 ,390532085 ,12185406 ,14881604 ,4774244 ,6433021 ,237597 ,395958 ,2861176 ,5895501 ,28137054 ,48063406 ,3667555 ,0,754087 ,1031976 ,321479 ,278832 ,168832 ,25999041 ,0,13498204 ,0,32298318 ,0,665852 ,3649837 ,728148 ,94377 ,15118477 ,26194848 ,3880704 ,0,28317380 ,2900488 
17,Spider-Man Homecoming,0,104236 ,331584 ,0,11664461 ,9080755 ,5205100 ,1044817 ,1063307 ,1112868 ,2308622 ,297261 ,4042454 ,1283316 ,1666038 ,7523563 ,1321129 ,7910547 ,870753 ,305790 ,0,408209 ,2692532 ,665503 ,280973 ,149352 ,0,1407192 ,4592912 ,4362392 ,0,0,2278867 ,305426 ,51515806 ,0,2602715 ,1158441 ,6771976 ,12335003 ,0,2692449 ,396392 ,53051 ,116280889 ,0,1628395 ,340638 ,16341826 ,330441 ,2659165 ,1102206 ,779671 ,2527948 ,3680062 ,5316786 ,334201140 ,9657745 ,11403714 ,2140029 ,5023723 ,260893 ,203713 ,1853733 ,7033029 ,25390871 ,39582694 ,2695355 ,0,461870 ,533993 ,179822 ,139920 ,100575 ,19719661 ,0,10157185 ,0,27069013 ,0,665551 ,2827030 ,629019 ,0,11950872 ,18790173 ,2468895 ,0,31896083 ,1755851 
18,The Avengers,0,163737 ,502028 ,0,30828359 ,12468825 ,8523744 ,,1759397 ,2599996 ,4609462 ,0,6609804 ,1740748 ,0,14382992 ,2489524 ,7935363 ,0,0,0,448435 ,3165105 ,0,202368 ,0,0,1885220 ,7140604 ,9247146 ,0,323763 ,4061231 ,0,50683851 ,0,2449957 ,1476038 ,10965615 ,11949911 ,0,5410298 ,517473 ,20549 ,86300000 ,0,2210225 ,743965 ,43677418 ,0,4257979 ,0,0,13216039 ,7595353 ,11172253 ,623357910 ,20100000 ,12616061 ,0,6689950 ,0,0,0,17331732 ,45256010 ,80563081 ,7140832 ,0,387357 ,913497 ,167189 ,0,0,54385465 ,0,22012517 ,0,61748523 ,0,0,5636566 ,534555 ,0,20220212 ,37765919 ,5081339 ,0,63904807 ,3175739 
19,The Incredible Hulk,0,60156 ,152733 ,1394480 ,2461403 ,1603230 ,1194068 ,145857 ,309801 ,833969 ,924788 ,0,1338756 ,147445 ,661769 ,2073443 ,712895 ,1177786 ,0,0,0,31530 ,484495 ,0,27915 ,53656 ,0,67950 ,751814 ,340611 ,0,80964 ,1079519 ,0,6383794 ,0,493141 ,222314 ,2284041 ,1498269 ,0,379250 ,23637 ,0,9336251 ,0,593282 ,97910 ,6411987 ,0,1024772 ,0,0,1312950 ,1075183 ,1841159 ,134806913 ,1935524 ,3137469 ,162749 ,1814406 ,0,28037 ,582510 ,935727 ,1692037 ,15163328 ,876991 ,153442 ,87874 ,275749 ,52750 ,50812 ,0,4549323 ,1229654 ,6460290 ,275882 ,12650300 ,199692 ,173936 ,1532085 ,96931 ,0,7693842 ,9725300 ,1103737 ,926846 ,4893267 ,414620 
20,Thor,0,122992 ,261866 ,0,16007303 ,2490495 ,1970451 ,772310 ,744824 ,1852788 ,2009016 ,0,1953880 ,735683 ,0,4027405 ,1355963 ,2316699 ,0,0,,193658 ,1612281 ,0,140960 ,74700 ,0,370749 ,2468907 ,1249402 ,0,50606 ,1255410 ,,14791773 ,,748171 ,418130 ,3730598 ,273076 ,,1281880 ,82485 ,30017 ,0,,1477787 ,577677 ,16543455 ,0,2088436 ,0,0,2647111 ,2294015 ,4250375 ,181030624 ,5830415 ,1001416 ,0,2066386 ,0,128052 ,0,2399738 ,5737436 ,22521717 ,1900064 ,,368650 ,156908 ,72757 ,96627 ,0,20135378 ,0,10900780 ,0,19547866 ,0,0,2026533 ,282342 ,0,12440218 ,18370989 ,1529183 ,0,12092872 ,1665346 
21,Thor Ragnarok,0,188184 ,480305 ,0,19036145 ,7003816 ,0,2111835 ,2204271 ,1295237 ,2548900 ,0,4590401 ,3043078 ,0,8347510 ,1344160 ,7504939 ,0,358934 ,0,846839 ,4046509 ,0,0,216827 ,0,1422005 ,5473781 ,3736319 ,0,0,2566343 ,0,35126494 ,0,0,1456100 ,8037405 ,11746294 ,0,0,380925 ,0,112226154 ,0,2424456 ,733913 ,23648617 ,0,2981701 ,0,0,2985748 ,4541867 ,5950587 ,315058289 ,10411887 ,11818410 ,0,4577959 ,0,0,2230816 ,6169643 ,10116575 ,40960481 ,4839337 ,0,0,0,0,0,0,26997469 ,0,10369507 ,0,21249433 ,0,0,2753609 ,0,0,10622231 ,21262791 ,2918761 ,0,30485847 ,2745268 
22,Thor The Dark World,0,148061 ,306525 ,0,20356156 ,4730882 ,4040720 ,0,1104097 ,1267903 ,2068342 ,0,3212754 ,1398191 ,0,7950502 ,1485608 ,4552606 ,0,0,0,493999 ,3160256 ,0,164215 ,0,0,1108797 ,4085479 ,3330635 ,0,204454 ,2230285 ,0,21114584 ,0,1149742 ,1129411 ,8819558 ,0,0,2790162 ,205337 ,0,55340000 ,0,2787498 ,883334 ,35732140 ,0,3692896 ,0,0,9147580 ,3944319 ,6300035 ,204041762 ,0,3598734 ,0,3451574 ,0,0,0,5646086 ,6017520 ,26224037 ,2790409 ,0,309572 ,536616 ,146913 ,0,0,20494942 ,0,11176894 ,0,23857540 ,0,0,2546889 ,523712 ,0,8862218 ,22289092 ,2128547 ,0,27751884 ,2561728 
